    0.436243554166050818E+00    0.454376754613390403E+03    0.859671097993850708E+01    0.182161450542569520E+00    0.138122889280319221E+02    0.881595373153686523E+00   -0.239155232906341553E+01    0.163493349347603012E+00    0.290209054946899414E-01   -0.999000000000000022+100   -0.690775511231546968E+01    1
    0.687334993363865692E+03    0.582571066196959753E+00    0.137702685594558716E+01    0.816416920500485088E+00    0.714542806744575465E+01    0.631172657012939453E-01   -0.286032330989837646E+01    0.126536679582996914E+00    0.302035093307495117E+01   -0.999000000000000022+100   -0.690875511231548245E+01    1
    0.271045107572672617E+01    0.495075451760470797E+00    0.610463988780975342E+01    0.118621727614344019E+01    0.867610382437706029E+01    0.103218483924865723E+01   -0.212908625602722168E+01    0.128606329829019150E+00    0.483052313327789307E+01   -0.999000000000000022+100   -0.690975511231547301E+01    1
    0.262376711988809284E+02    0.725032580895668244E+00    0.546012496948242188E+01    0.400891459651909365E+00    0.129651899397373196E+02    0.184332966804504395E+01   -0.279315125942230225E+01    0.243216194400815544E+01    0.274594068527221680E+01   -0.999000000000000022+100   -0.691075511231547601E+01    1
    0.196336989984810473E+00    0.371321070416619381E+00    0.271092653274536133E+01    0.121349779876404340E+01    0.886530483365058863E+01    0.300331115722656250E+00   -0.311856663227081299E+01    0.312964967639652369E+00    0.413004815578460693E+01   -0.999000000000000022+100   -0.691175511231546658E+01    1
    0.170135673039557056E+01    0.306067148315886273E+00    0.472627562284469604E+01    0.504316182593038120E+00    0.127644443988800056E+02    0.284953451156616211E+01   -0.264604210853576660E+01    0.128896589592399979E+01    0.976249456405639648E+01   -0.999000000000000022+100   -0.691275511231547579E+01    1
    0.835560684161897216E+00    0.436743173736273675E+02    0.123587735891342163E+02    0.209756905346444783E+00    0.253091475963592538E+01    0.126373004913330078E+01   -0.301799786090850830E+01    0.275399234000763493E+00    0.594398736953735352E+01   -0.999000000000000022+100   -0.691375511231547435E+01    1
    0.274198636245170102E+00    0.265059818876310302E+02    0.107848345637321472E+02    0.202419657147695220E+00    0.693409182429313642E+01    0.723018169403076172E+00   -0.395784115791320801E+01    0.157638044990896753E+01    0.884853601455688477E+01   -0.999000000000000022+100   -0.691475511231548357E+01    1
    0.232959019411234713E+02    0.815986256660044802E+02    0.662853926420211792E+01    0.187043429423829205E+00    0.116518655896186836E+02    0.169748997688293457E+01   -0.357456564903259277E+01    0.112174786964284467E+01    0.154655277729034424E+01   -0.999000000000000022+100   -0.691575511231552209E+01    1
    0.124635389310849813E+02    0.112885905981648493E+00    0.690983372926712036E+01    0.997706225783818845E+00    0.236850622892379770E+01    0.311558198928833008E+01   -0.252812504768371582E+01    0.641890453415212558E+00    0.587844371795654297E+01   -0.999000000000000022+100   -0.691675511231554463E+01    1
    0.485866016060597872E+01    0.552009684682474472E+03    0.100960603952407837E+02    0.829786870133595533E+00    0.148600455343723290E+02    0.218255853652954102E+01   -0.282400786876678467E+01    0.649665779358902684E+00    0.293709695339202881E+01   -0.999000000000000022+100   -0.691775511231549967E+01    1
    0.108296654304755702E+01    0.196873844704564846E+03    0.402066528797149658E+01    0.468400757514717381E+00    0.107049555599689477E+02    0.152167963981628418E+01   -0.273015487194061279E+01    0.154508155972456485E+00    0.485013723373413086E+00   -0.999000000000000022+100   -0.691875511231549378E+01    1
    0.176880011054920743E+03    0.149103931126024075E+00    0.891451764106750488E+01    0.181441326300890649E+01    0.618438822031021118E+01    0.287834000587463379E+01   -0.219711470603942871E+01    0.870854305692938674E-01    0.397789955139160156E+01   -0.999000000000000022+100   -0.691975511231551454E+01    1
    0.467844366347305840E+01    0.138826846698864470E+01    0.220073288679122925E+01    0.796685590711581765E-01    0.467843475937843323E+01    0.264376568794250488E+01   -0.353882348537445068E+01    0.199074325307046940E+00    0.912348151206970215E+01   -0.999000000000000022+100   -0.692075511231548113E+01    1
    0.127349055273083073E+00    0.142013828959795724E+00    0.370057046413421631E+01    0.390508392985002672E+00    0.522882090210914630E+01    0.149649477005004883E+01   -0.266194999217987061E+01    0.465605200934086805E+00    0.588090658187866211E+01   -0.999000000000000022+100   -0.692175511231547080E+01    1
    0.597409737200509716E+00    0.117844826183668857E+03    0.108797991275787354E+02    0.841736142689286981E+00    0.135136169135570530E+02    0.207798457145690918E+01   -0.353896915912628174E+01    0.142993160037434119E+01    0.354756653308868408E+01   -0.999000000000000022+100   -0.692275511231549334E+01    1
    0.525948201171271307E+03    0.150423260057921460E+01    0.118919976949691772E+02    0.974445168984676813E+00    0.124375482738018039E+02    0.279640054702758789E+01   -0.361461281776428223E+01    0.145532074509459680E+00    0.903796076774597168E+01   -0.999000000000000022+100   -0.692375511231548746E+01    1
    0.276252434644177347E+01    0.314543290447873058E+01    0.160720843076705933E+01    0.153597299133019005E+00    0.100009860277175910E+02    0.140656256675720215E+01   -0.330523657798767090E+01    0.156483830874940083E+00    0.746235251426696777E+01   -0.999000000000000022+100   -0.692475511231548957E+01    1
    0.919465225762726050E+03    0.807546749016141234E+03    0.115591130256652832E+02    0.132944590005666857E+00    0.111685858666896820E+02    0.214382934570312500E+01   -0.206530940532684326E+01    0.797714090044550073E-01    0.739707291126251221E+01   -0.999000000000000022+100   -0.692575511231552365E+01    1
    0.670712157568083001E+00    0.118713232360024023E+03    0.551025921106338501E+01    0.151846881379494625E+01    0.411118164658546448E+01    0.199519467353820801E+01   -0.306810784339904785E+01    0.231568458635898505E+00    0.571268320083618164E+01   -0.999000000000000022+100   -0.692675511231553909E+01    1
